Grade,Tensile Strength (MPa),Tensile Strength (ksi),Yield Strength (MPa),Yield Strength (ksi),Elongation in 50 mm (%),Reduction in Area (%),Hardness (HB),HV (GPa)
347 Annealed sheet,655,95,275,40,45,...,85,9.203853211
347 Annealed bar,620,90,240,35,50,65,160,15.49439348
384 Annealed and cold drawn bar,690,100,450,65,40,60,212,20.53007136
384 Annealed wire 1040 °C (1900 °F),515,75,240,35,55,72,70,7.786422018
304 Annealed bar,585,85,235,34,60,70,149,14.42915392
304 Annealed and cold drawn,690,100,415,60,45,...,212,20.53007136
304 Cold-drawn high tensile,860,125,655,95,25,...,275,26.63098879
305 Annealed sheet,585,85,260,38,50,...,80,8.731376147
308 Annealed bar,585,85,205,30,55,65,150,14.52599388
309 Annealed bar,655,95,275,40,45,65,83,9.014862385
310 Annealed sheet,620,90,310,45,45,...,85,9.203853211
310 Annealed bar,655,95,275,40,45,65,160,15.49439348
314 Annealed bar,689,100,345,50,45,60,180,17.43119266
316 Annealed sheet,580,84,290,42,50,...,79,8.636880734
316 Annealed bar,550,80,240,35,60,70,149,14.42915392
316 Annealed and cold-drawn bar,620,90,415,60,45,65,190,18.39959225
317 Annealed sheet,620,90,275,40,45,...,85,9.203853211
317 Annealed bar,585,85,275,40,50,...,160,15.49439348
321 Annealed sheet,620,90,240,35,45,...,80,8.731376147
321 Annealed bar,585,85,240,35,55,65,150,14.52599388
321 Annealed and cold-drawn bar,655,95,415,60,40,60,185,17.91539246
330 Annealed bar,585,85,290,42,45,...,80,8.731376147
347 Annealed sheet,655,95,275,40,45,...,85,9.203853211
347 Annealed bar,620,90,240,35,50,65,160,15.49439348
201 Annealed,760,110,380,55,52,...,87,9.392844037
201 50% hard,1035,150,760,110,12,...,32,11.09072375
201 Full hard,1275,185,965,140,8,...,41,14.20998981
201 Extra hard,1550,225,1480,215,1,...,43,14.90316004
302 Annealed strip,620,90,275,40,55,...,80,8.731376147
302 25% hard strip,860,125,515,75,12,...,25,8.664627931
302 Annealed bar,585,85,240,35,60,70,80,8.731376147
303 Annealed bar,620,90,240,35,50,55,160,15.49439348
303 Cold drawn,690,100,415,60,40,53,228,22.0795107
