Grade,Condition,Tensile Strength (MPa),Tensile Strength (ksi),Yield Strength (MPa),Yield Strength (ksi),Elongation in 50 mm (%),Reduction in Area (%),Hardness (HB),HV (GPa)
1006,Hot rolled,295,43,165,24,30,55,86,8.328236493
1006,Cold drawn,330,48,285,41,20,45,95,9.199796126
1008,Hot rolled,305,44,170,24.5,30,55,86,8.328236493
1008,Cold drawn,340,49,285,41.5,20,45,95,9.199796126
1010,Hot rolled,325,47,180,26,28,50,95,9.199796126
1010,Cold drawn,365,53,305,44,20,40,105,10.16819572
1012,Hot rolled,330,48,185,26.5,28,50,95,9.199796126
1012,Cold drawn,370,54,310,45,19,40,105,10.16819572
1015,Hot rolled,345,50,190,27.5,28,50,101,9.780835882
1015,Cold drawn,385,56,325,47,18,40,111,10.74923547
1016,Hot rolled,380,55,205,30,25,50,110,10.65239551
1016,Cold drawn,420,61,350,51,18,40,121,11.71763507
1017,Hot rolled,365,53,200,29,26,50,105,10.16819572
1017,Cold drawn,405,59,340,49,18,40,116,11.23343527
1018,Hot rolled,400,58,220,32,25,50,116,11.23343527
1018,Cold drawn,440,64,370,54,15,40,126,12.20183486
1019,Hot rolled,405,59,225,32.5,25,50,116,11.23343527
1019,Cold drawn,455,66,380,55,15,40,131,12.68603466
1020,Hot rolled,380,55,205,30,25,50,111,10.74923547
1020,Cold drawn,420,61,350,51,15,40,121,11.71763507
1021,Hot rolled,420,61,230,33,24,48,116,11.23343527
1021,Cold drawn,470,68,395,57,15,40,131,12.68603466
1022,Hot rolled,425,62,235,34,23,47,121,11.71763507
1022,Cold drawn,475,69,400,58,15,40,137,13.26707441
1023,Hot rolled,385,56,215,31,25,50,111,10.74923547
1023,Cold drawn,425,62,360,52.5,15,40,121,11.71763507
1524,Hot rolled,510,74,285,41,20,42,149,14.42915392
1524,Cold drawn,565,82,475,69,12,35,163,15.78491335
1025,Hot rolled,400,58,220,32,25,50,116,11.23343527
1025,Cold drawn,440,64,370,54,15,40,126,12.20183486
1026,Hot rolled,440,64,240,35,24,49,126,12.20183486
1527,Cold drawn,490,71,415,60,15,40,143,13.84811417
1527,Hot rolled,515,75,285,41,18,40,149,14.42915392
1527,Cold drawn,570,83,485,70,12,35,163,15.78491335
1030,Hot rolled,470,68,260,37.5,20,42,137,13.26707441
1030,Cold drawn,525,76,440,64,12,35,149,14.42915392
