Grade,Tensile Strength (MPa),Yield Strength (MPa),Elongation in 50 mm (%),Reduction in Area (%),HV (GPa)
347,655.0,275.0,45.0,45.8,9.203853211
347,620.0,240.0,50.0,65.0,15.49439348
384,690.0,450.0,40.0,60.0,20.53007136
384,515.0,240.0,55.0,72.0,7.786422018
304,585.0,235.0,60.0,70.0,14.42915392
304,690.0,415.0,45.0,45.8,20.53007136
304,860.0,655.0,25.0,45.8,26.63098879
305,585.0,260.0,50.0,45.8,8.731376147
308,585.0,205.0,55.0,65.0,14.52599388
309,655.0,275.0,45.0,65.0,9.014862385
310,620.0,310.0,45.0,45.8,9.203853211
310,655.0,275.0,45.0,65.0,15.49439348
314,689.0,345.0,45.0,60.0,17.43119266
316,580.0,290.0,50.0,45.8,8.636880734
316,550.0,240.0,60.0,70.0,14.42915392
316,620.0,415.0,45.0,65.0,18.39959225
317,620.0,275.0,45.0,45.8,9.203853211
317,585.0,275.0,50.0,45.8,15.49439348
321,620.0,240.0,45.0,45.8,8.731376147
321,585.0,240.0,55.0,65.0,14.52599388
321,655.0,415.0,40.0,60.0,17.91539246
330,585.0,290.0,45.0,45.8,8.731376147
347,655.0,275.0,45.0,45.8,9.203853211
347,620.0,240.0,50.0,65.0,15.49439348
201,380.0,52.0,45.8,9.392844037,
201,1035.0,760.0,12.0,45.8,11.09072375
201,1275.0,965.0,8.0,45.8,14.20998981
201,1550.0,1480.0,1.0,45.8,14.90316004
302,620.0,275.0,55.0,45.8,8.731376147
302,860.0,515.0,12.0,45.8,8.664627931
302,585.0,240.0,60.0,70.0,8.731376147
303,620.0,240.0,50.0,55.0,15.49439348
303,690.0,415.0,40.0,53.0,22.0795107
1006,295.0,165.0,30.0,55.0,8.328236493
1006,330.0,285.0,20.0,45.0,9.199796126
1008,305.0,170.0,30.0,55.0,8.328236493
1008,340.0,285.0,20.0,45.0,9.199796126
1010,325.0,180.0,28.0,50.0,9.199796126
1010,365.0,305.0,20.0,40.0,10.16819572
1012,330.0,185.0,28.0,50.0,9.199796126
1012,370.0,310.0,19.0,40.0,10.16819572
1015,345.0,190.0,28.0,50.0,9.780835882
1015,385.0,325.0,18.0,40.0,10.74923547
1016,380.0,205.0,25.0,50.0,10.65239551
1016,420.0,350.0,18.0,40.0,11.71763507
1017,365.0,200.0,26.0,50.0,10.16819572
1017,405.0,340.0,18.0,40.0,11.23343527
1018,400.0,220.0,25.0,50.0,11.23343527
1018,440.0,370.0,15.0,40.0,12.20183486
1019,405.0,225.0,25.0,50.0,11.23343527
1019,455.0,380.0,15.0,40.0,12.68603466
1020,380.0,205.0,25.0,50.0,10.74923547
1020,420.0,350.0,15.0,40.0,11.71763507
1021,420.0,230.0,24.0,48.0,11.23343527
1021,470.0,395.0,15.0,40.0,12.68603466
1022,425.0,235.0,23.0,47.0,11.71763507
1022,475.0,400.0,15.0,40.0,13.26707441
1023,385.0,215.0,25.0,50.0,10.74923547
1023,425.0,360.0,15.0,40.0,11.71763507
1524,510.0,285.0,20.0,42.0,14.42915392
1524,565.0,475.0,12.0,35.0,15.78491335
1025,400.0,220.0,25.0,50.0,11.23343527
1025,440.0,370.0,15.0,40.0,12.20183486
1026,440.0,240.0,24.0,49.0,12.20183486
1527,490.0,415.0,15.0,40.0,13.84811417
1527,515.0,285.0,18.0,40.0,14.42915392
1527,570.0,485.0,12.0,35.0,15.78491335
1030,470.0,260.0,20.0,42.0,13.26707441
1030,525.0,440.0,12.0,35.0,14.42915392
1035,495.0,270.0,18.0,40.0,13.84811417
1035,550.0,460.0,12.0,35.0,15.78491335
1536,570.0,315.0,16.0,40.0,15.78491335
1536,635.0,535.0,12.0,35.0,18.10907238
1037,510.0,280.0,18.0,40.0,13.84811417
1037,565.0,475.0,12.0,35.0,16.17227319
1038,515.0,285.0,18.0,40.0,14.42915392
1038,570.0,485.0,12.0,35.0,15.78491335
1039,545.0,300.0,16.0,40.0,15.10703364
1039,605.0,510.0,12.0,35.0,17.3343527
1040,525.0,290.0,18.0,40.0,14.42915392
1040,585.0,490.0,12.0,35.0,16.46279307
1541,635.0,350.0,15.0,40.0,18.10907238
1541,705.0,600.0,10.0,30.0,20.04587156
1541,650.0,550.0,10.0,45.0,17.8185525
1042,550.0,305.0,16.0,40.0,15.78491335
1043,565.0,310.0,16.0,40.0,15.78491335
1043,625.0,530.0,12.0,35.0,17.3343527
1043,600.0,515.0,12.0,45.0,17.3343527
1044,550.0,305.0,16.0,40.0,15.78491335
1045,565.0,310.0,16.0,40.0,15.78491335
1045,625.0,530.0,12.0,35.0,17.3343527
1045,585.0,505.0,12.0,45.0,16.46279307
1046,585.0,325.0,15.0,40.0,16.46279307
1046,650.0,545.0,12.0,35.0,18.10907238
1046,620.0,515.0,12.0,45.0,17.3343527
1547,650.0,360.0,15.0,30.0,18.59327217
1547,710.0,605.0,10.0,28.0,20.04587156
1547,655.0,585.0,10.0,35.0,18.10907238
1548,660.0,365.0,14.0,33.0,19.07747197
1548,735.0,615.0,10.0,28.0,21.01427115
1548,645.0,540.0,10.0,35.0,18.59327217
1049,600.0,330.0,15.0,35.0,17.3343527
1049,670.0,560.0,10.0,30.0,19.07747197
1049,635.0,530.0,10.0,40.0,18.10907238
1050,620.0,340.0,15.0,35.0,17.3343527
1050,690.0,580.0,10.0,30.0,19.07747197
1050,655.0,550.0,10.0,40.0,18.30275229
1552,745.0,410.0,12.0,30.0,21.01427115
1552,675.0,570.0,10.0,40.0,18.69011213
1055,650.0,355.0,12.0,30.0,18.59327217
1055,660.0,560.0,10.0,40.0,19.07747197
1060,675.0,370.0,12.0,30.0,19.4648318
1060,620.0,485.0,10.0,45.0,17.72171254
1064,670.0,370.0,12.0,30.0,19.4648318
1064,615.0,475.0,10.0,45.0,17.72171254
1065,690.0,380.0,12.0,30.0,20.04587156
1065,635.0,490.0,10.0,45.0,18.10907238
1070,705.0,385.0,12.0,30.0,20.53007136
1070,640.0,495.0,10.0,45.0,18.59327217
1074,725.0,400.0,12.0,30.0,21.01427115
1074,650.0,505.0,10.0,40.0,18.59327217
1078,690.0,380.0,12.0,30.0,20.04587156
1078,650.0,500.0,10.0,40.0,18.59327217
1080,770.0,425.0,10.0,25.0,22.17635066
1080,675.0,515.0,10.0,40.0,18.59327217
1084,820.0,450.0,10.0,25.0,23.33843017
1084,690.0,530.0,10.0,40.0,18.59327217
1085,835.0,460.0,10.0,25.0,24.01630989
1085,695.0,540.0,10.0,40.0,18.59327217
1086,770.0,425.0,10.0,25.0,22.17635066
1086,670.0,510.0,10.0,40.0,18.59327217
1090,840.0,460.0,10.0,25.0,24.01630989
1090,695.0,540.0,10.0,40.0,19.07747197
1095,825.0,455.0,10.0,25.0,24.01630989
1095,680.0,525.0,10.0,40.0,19.07747197
1211,380.0,230.0,25.0,45.0,11.71763507
1211,515.0,400.0,10.0,35.0,15.78491335
1212,385.0,230.0,25.0,45.0,11.71763507
1212,540.0,415.0,10.0,35.0,16.17227319
1213,385.0,230.0,25.0,45.0,11.71763507
1213,540.0,415.0,10.0,35.0,16.17227319
12L14,395.0,235.0,22.0,45.0,11.71763507
12L14,540.0,415.0,10.0,35.0,15.78491335
1108,345.0,190.0,30.0,50.0,9.780835882
1108,385.0,325.0,20.0,40.0,11.71763507
1109,345.0,190.0,30.0,50.0,9.780835882
1117,425.0,235.0,23.0,47.0,11.71763507
1117,475.0,400.0,15.0,40.0,13.26707441
1118,450.0,250.0,23.0,47.0,12.68603466
1118,495.0,420.0,15.0,40.0,13.84811417
1119,425.0,235.0,23.0,47.0,11.71763507
1119,475.0,400.0,15.0,40.0,13.26707441
1132,570.0,315.0,16.0,40.0,16.17227319
1132,635.0,530.0,12.0,35.0,17.72171254
1137,605.0,330.0,15.0,35.0,17.3343527
1137,675.0,565.0,10.0,30.0,19.07747197
1140,545.0,300.0,16.0,40.0,15.10703364
1140,605.0,510.0,12.0,35.0,16.46279307
1141,650.0,355.0,15.0,35.0,18.10907238
1141,725.0,605.0,10.0,30.0,20.53007136
1144,670.0,365.0,15.0,35.0,19.07747197
1144,745.0,620.0,10.0,30.0,21.01427115
1145,585.0,325.0,15.0,40.0,16.46279307
1145,650.0,550.0,12.0,35.0,18.10907238
1146,585.0,325.0,15.0,40.0,16.46279307
1146,650.0,550.0,12.0,35.0,18.10907238
1151,635.0,350.0,15.0,35.0,18.10907238
1151,705.0,595.0,10.0,30.0,20.04587156
8620,635.0,360.0,26.3,59.7,17.72171254
8620,540.0,385.0,31.3,62.1,14.42915392
8630,650.0,425.0,23.5,53.5,18.10907238
8630,565.0,370.0,29.0,58.9,15.10703364
8630,931.0,850.0,18.7,59.6,26.04994903
8650,1025.0,690.0,14.0,45.0,29.24566769
8650,715.0,385.0,22.5,46.0,20.53007136
8650,1185.0,1105.0,14.5,49.1,34.08766565
8740,931.0,605.0,16.0,47.9,26.04994903
8740,696.0,415.0,22.2,46.4,19.4648318
8740,1225.0,1130.0,16.0,53.0,34.08766565
9255,931.0,580.0,19.7,43.4,26.04994903
9255,779.0,485.0,21.7,41.1,22.17635066
9255,1130.0,924.0,16.7,38.3,31.08562691
9310,910.0,570.0,18.8,58.1,26.59100917
9310,820.0,450.0,17.3,42.1,23.94513761
9310,1207.0,1145.0,14.2,45.9,34.08766565
4419,515.0,350.0,32.5,69.4,13.84811417
4419,450.0,330.0,31.2,62.8,11.71763507
4620,570.0,365.0,29.0,66.7,16.85015291
4620,510.0,370.0,31.3,60.3,14.42915392
4820,758.0,485.0,24.0,59.2,22.17635066
4820,685.0,460.0,22.3,58.8,19.07747197
5140,793.0,470.0,22.7,59.2,22.17635066
5140,570.0,290.0,28.6,57.3,16.17227319
5140,972.0,841.0,18.5,58.9,28.37410805
5150,869.0,530.0,20.7,58.7,24.6941896
5150,675.0,360.0,22.0,43.7,19.07747197
5150,1055.0,1000.0,16.4,52.9,30.11722732
5160,1025.0,650.0,18.2,50.7,27.59938838
5160,724.0,275.0,17.2,30.6,19.07747197
5160,1145.0,1005.0,14.5,45.7,33.0224261
6150,938.0,615.0,21.8,61.0,26.04994903
6150,670.0,415.0,23.0,48.4,19.07747197
6150,1200.0,1160.0,14.5,48.2,34.08766565
1340,834.0,558.0,22.0,63.0,24.01630989
1340,703.0,434.0,25.5,57.0,20.04587156
3140,889.0,600.0,19.7,57.0,25.37206932
3140,690.0,420.0,24.5,51.0,19.07747197
4130,670.0,435.0,25.5,59.5,19.07747197
4130,560.0,460.0,21.5,59.6,21.01427115
4130,1040.0,979.0,18.1,63.9,29.24566769
4140,1020.0,655.0,17.7,46.8,29.24566769
4140,655.0,915.0,25.7,56.9,19.07747197
4140,1075.0,986.0,15.5,56.9,30.11722732
4150,1160.0,731.0,11.7,30.8,31.08562691
