Grade,Tensile Strength (MPa),Yield Strength (MPa),Elongation in 50 mm (%),Reduction in Area (%),HV (GPa),"Carbon, C","Chromium, Cr","Iron, Fe","Manganese, Mn","Nickel, Ni","Nitrogen, N","Phosphorus, P","Silicon, Si","Sulfur, S","Molybdenum, Mo","Boron, B","Titanium, Ti",Nb,Ta,"Lead, Pb","Vanadium, V",YS/TS ratio
347,655.0,275.0,45.0,45.8,9.203853211,0.08,17.0,68.0,2.0,11.0,0.0,0.045,1.0,0.03,0.0,0.0,0.0,0.4,0.4,0.0,0.0,0.4198473282442748
347,620.0,240.0,50.0,65.0,15.49439348,0.08,17.0,68.0,2.0,11.0,0.0,0.045,1.0,0.03,0.0,0.0,0.0,0.4,0.4,0.0,0.0,0.3870967741935484
384,690.0,450.0,40.0,60.0,20.53007136,0.08,16.0,63.0,2.0,18.0,0.0,0.045,1.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6521739130434783
384,515.0,240.0,55.0,72.0,7.786422018,0.08,16.0,63.0,2.0,18.0,0.0,0.045,1.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46601941747572817
304,585.0,235.0,60.0,70.0,14.42915392,0.505,0.525,97.8307,0.875,0.0,0.0,0.035,0.225,0.04,0.0,0.0018,0.0,0.0,0.0,0.0,0.0,0.4017094017094017
304,690.0,415.0,45.0,45.8,20.53007136,0.505,0.525,97.8307,0.875,0.0,0.0,0.035,0.225,0.04,0.0,0.0018,0.0,0.0,0.0,0.0,0.0,0.6014492753623188
304,860.0,655.0,25.0,45.8,26.63098879,0.505,0.525,97.8307,0.875,0.0,0.0,0.035,0.225,0.04,0.0,0.0018,0.0,0.0,0.0,0.0,0.0,0.7616279069767442
305,585.0,260.0,50.0,45.8,8.731376147,0.12,18.0,67.0,2.0,12.0,0.0,0.045,1.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4444444444444444
308,585.0,205.0,55.0,65.0,14.52599388,0.08,20.0,66.0,2.0,11.0,0.0,0.045,1.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3504273504273504
309,655.0,275.0,45.0,65.0,9.014862385,0.2,23.0,60.0,2.0,14.0,0.0,0.045,1.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4198473282442748
