Grade,Tensile Strength (MPa),Yield Strength (MPa),Elongation in 50 mm (%),Reduction in Area (%),HV (GPa),"Carbon, C","Chromium, Cr","Iron, Fe","Manganese, Mn","Nickel, Ni","Nitrogen, N","Phosphorus, P","Silicon, Si","Sulfur, S","Molybdenum, Mo","Boron, B","Titanium, Ti",Nb,Ta,"Lead, Pb","Vanadium, V"
347,655,275,45,45.8,9.203853211,0.08,17,68,2,11,,0.045,1,0.03,,,,0.4,0.4,,
347,620,240,50,65,15.49439348,0.08,17,68,2,11,,0.045,1,0.03,,,,0.4,0.4,,
384,690,450,40,60,20.53007136,0.08,16,63,2,18,,0.045,1,0.03,,,,,,,
384,515,240,55,72,7.786422018,0.08,16,63,2,18,,0.045,1,0.03,,,,,,,
304,585,235,60,70,14.42915392,0.505,0.525,97.8307,0.875,,,0.035,0.225,0.04,,0.0018,,,,,
304,690,415,45,45.8,20.53007136,0.505,0.525,97.8307,0.875,,,0.035,0.225,0.04,,0.0018,,,,,
304,860,655,25,45.8,26.63098879,0.505,0.525,97.8307,0.875,,,0.035,0.225,0.04,,0.0018,,,,,
305,585,260,50,45.8,8.731376147,0.12,18,67,2,12,,0.045,1,0.03,,,,,,,
308,585,205,55,65,14.52599388,0.08,20,66,2,11,,0.045,1,0.03,,,,,,,
309,655,275,45,65,9.014862385,0.2,23,60,2,14,,0.045,1,0.03,,,,,,,
310,620,310,45,45.8,9.203853211,0.25,25,52.59,2,20.5,,0.045,1.5,0.03,,,,,,,
310,655,275,45,65,15.49439348,0.25,25,52.59,2,20.5,,0.045,1.5,0.03,,,,,,,
314,689,345,45,60,17.43119266,0.25,24.5,51.59,2,20.5,,0.045,2.25,0.03,,,,,,,
316,580,290,50,45.8,8.636880734,0.08,17,66.9,2,12,,0.045,1,0.03,2.5,,,,,,
316,550,240,60,70,14.42915392,0.08,17,66.9,2,12,,0.045,1,0.03,2.5,,,,,,
316,620,415,45,65,18.39959225,0.08,17,66.9,2,12,,0.045,1,0.03,2.5,,,,,,
317,620,275,45,45.8,9.203853211,0.08,19,62.925,2,13,,0.045,1,0.03,3.5,,,,,,
317,585,275,50,45.8,15.49439348,0.08,19,62.925,2,13,,0.045,1,0.03,3.5,,,,,,
321,620,240,45,45.8,8.731376147,0.08,18,69.525,2,10.5,,0.045,1,0.03,,,0.4,,,,
321,585,240,55,65,14.52599388,0.08,18,69.525,2,10.5,,0.045,1,0.03,,,0.4,,,,
321,655,415,40,60,17.91539246,0.08,18,69.525,2,10.5,,0.045,1,0.03,,,0.4,,,,
330,585,290,45,45.8,8.731376147,0.08,19,42,2,36,,0.04,1.13,0.03,,,,,,,
201,1035,760,12,45.8,11.09072375,0.15,17,71.255,6.5,4.5,0.25,0.06,1,0.03,,,,,,,
201,1275,965,8,45.8,14.20998981,0.15,17,71.255,6.5,4.5,0.25,0.06,1,0.03,,,,,,,
201,1550,1480,1,45.8,14.90316004,0.15,17,71.255,6.5,4.5,0.25,0.06,1,0.03,,,,,,,
302,620,275,55,45.8,8.731376147,0.17,,99.035,0.75,,,0.04,,0.05,,,,,,,
302,860,515,12,45.8,8.664627931,0.17,,99.035,0.75,,,0.04,,0.05,,,,,,,
302,585,240,60,70,8.731376147,0.17,,99.035,0.75,,,0.04,,0.05,,,,,,,
303,620,240,50,55,15.49439348,0.15,18,69,2,9,,0.2,1,0.15,0.6,,,,,,
303,690,415,40,53,22.0795107,0.15,18,69,2,9,,0.2,1,0.15,0.6,,,,,,
1006,295,165,30,55,8.328236493,0.08,,99.59,0.325,,,0.04,,0.05,,,,,,,
1006,330,285,20,45,9.199796126,0.08,,99.59,0.325,,,0.04,,0.05,,,,,,,
1008,305,170,30,55,8.328236493,0.1,,99.505,0.4,,,0.04,,0.05,,,,,,,
1008,340,285,20,45,9.199796126,0.1,,99.505,0.4,,,0.04,,0.05,,,,,,,
1010,325,180,28,50,9.199796126,0.105,,99.4,0.45,,,0.04,,0.05,,,,,,,
1010,365,305,20,40,10.16819572,0.105,,99.4,0.45,,,0.04,,0.05,,,,,,,
1012,330,185,28,50,9.199796126,0.125,,99.38,0.45,,,0.04,,0.05,,,,,,,
1012,370,310,19,40,10.16819572,0.125,,99.38,0.45,,,0.04,,0.05,,,,,,,
1015,345,190,28,50,9.780835882,0.155,,99.35,0.45,,,0.04,,0.05,,,,,,,
1015,385,325,18,40,10.74923547,0.155,,99.35,0.45,,,0.04,,0.05,,,,,,,
1016,380,205,25,50,10.65239551,0.15,,99.355,0.75,,,0.04,,0.05,,,,,,,
1016,420,350,18,40,11.71763507,0.15,,99.355,0.75,,,0.04,,0.05,,,,,,,
1017,365,200,26,50,10.16819572,0.17,,99.335,0.45,,,0.04,,0.05,,,,,,,
1017,405,340,18,40,11.23343527,0.17,,99.335,0.45,,,0.04,,0.05,,,,,,,
1018,400,220,25,50,11.23343527,0.17,,99.035,0.75,,,0.04,,0.05,,,,,,,
1018,440,370,15,40,12.20183486,0.17,,99.035,0.75,,,0.04,,0.05,,,,,,,
1019,405,225,25,50,11.23343527,0.17,,98.935,0.85,,,0.04,,0.05,,,,,,,
1019,455,380,15,40,12.68603466,0.17,,98.935,0.85,,,0.04,,0.05,,,,,,,
1020,380,205,25,50,10.74923547,0.2,,99.305,0.45,,,0.04,,0.05,,,,,,,
1020,420,350,15,40,11.71763507,0.2,,99.305,0.45,,,0.04,,0.05,,,,,,,
1021,420,230,24,48,11.23343527,0.2,,99.005,0.75,,,0.04,,0.05,,,,,,,
1021,470,395,15,40,12.68603466,0.2,,99.005,0.75,,,0.04,,0.05,,,,,,,
1022,425,235,23,47,11.71763507,0.2,,98.905,0.85,,,0.04,,0.05,,,,,,,
