Grade,Density,"Hardness, Rockwell B","Hardness, Rockwell C",,"Tensile Strength, Ultimate","Tensile Strength, Yield",Elongation at Break,Modulus of Elasticity,Izod Impact,Electrical Resistivity,Magnetic Permeability,"CTE, linear",Specific Heat Capacity ,Thermal Conductivity,Melting Point,Solidus,Liquidus,"Carbon, C","Chromium, Cr","Iron, Fe","Manganese, Mn","Nickel, Ni","Nitrogen, N","Phosphorus, P","Silicon, Si","Sulfur, S","Tensile Strength, Yield",Tensile Strength,Reduction of Area,Thermal Conductivity,Charpy Impact,"Aluminum, Al","Copper, Cu","Molybdenum, Mo","Vanadium, V","Hardness, Brinell","Hardness, Knoop","Hardness, Vickers",Bulk Modulus ,Poissons Ratio,Machinability,Shear Modulus,  ,Impact Test,Electrical Resistivity,Tensile Modulus,Fatigue Strength,"Selenium, Se","Boron, B",Charpy Impact,"Maximum Service Temperature, Air",Rupture Strength,Creep Strength,"Niobium, Nb (Columbium, Cb)","CTE, linear",Transformation Temperature,Izod Impact  ,"Titanium, Ti",Curie Temperature,Volume Resistivity,Heat of Fusion,Nb + Ta,"Tensile Strength, Ultimate",Elongation at Break,"Cobalt, Co","Tantalum, Ta",Specific Heat Capacity,Particle Size,"Hardness, Rockwell A",Elongation at Yield,Notched Tensile Strength,Izod Impact Unnotched,Annealing Temperature ,Hot-Working Temperature,"Potassium, K","Tungsten, W",Fatigue Strength,Corrosion Rate mils per year,"Crevice Corrosion-Average Weight Loss, g/cm2 ",Reduction of Area ,"Hardness, Brinell ","Hardness, Knoop ","Hardness, Rockwell C  ","Hardness, Vickers",Deep-Drawing Capability rm,Strain Hardening Exponent n,Creep Strength,"Zirconium, Zr"
201,7.81,87,25,21.4,758,379,8,197,163,0.0001,1.02,15.7,0.5,16.2,1399,1399,1454,0.15,16,67.51,5.5,3.5,0.25,0.06,1,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201L,7.86,93,,23,785,,56,,,0.0001,1.008,16.6,0.502,16.3,1400,1400,1455,0.03,16,72,5.5,3.5,0.25,,0.75,,396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,7.86,,,45,,,40,207,,,,,0.5,,1400,1400,1450,0.15,17,68,7.5,4,0.25,0.06,1,0.03,275,515,45,16.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,,,,40,940,,11,,,,,,,,,,,0.18,0.8,93.91,1.5,2,,0.025,0.5,0.015,890,,,,30,0.04,0.3,0.6,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
301,7.87,66,,,405,,18,205,,0,,,0.481,,,,,0.14,,99.11,0.3,,,0.04,,0.05,340,,40,51.9,,,,,,116,135,120,160,0.29,65,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
301L,7.9,,,18,765,350,47,200,,0.0001,,16,0.5,,,,,0.02,17.7,75.64,,6.5,0.14,,,,,,,15,,,,,,,,,,0.3,,77,20,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
301LN,7.9,,,18,765,350,47,200,,0.0001,,16,0.5,,,,,0.02,17.7,75.64,,6.5,0.14,,,,,,,15,,,,,,,,,,0.3,,77,20,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
302,7.87,71,,0,440,,15,200,,,,,0.486,,,,,0.14,,98.81,0.6,,,0.04,,0.05,370,,40,51.9,,,,,,126,145,131,159,0.29,70,78,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
303,8,,,21.5,620,,50,,,0.0001,1.008,17.2,0.5,16.2,1400,1400,1420,0.15,18,69,2,9,,0.2,1,0.15,240,,,,,,,0.6,,,,,,0.25,,77.2,30,,,193,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
303Se,8,,,21.5,620,,50,,,0.0001,1.008,17.2,0.5,16.2,1400,1400,1420,0.15,18,69,2,9,,0.2,1,0.06,240,,,,,,,,,,,,,0.25,,77.2,70,,,193,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
304,7.85,94,15,,,,,205,,0,,,0.475,,,,,0.47,0.35,97.282,0.65,,,0.035,0.15,0.04,,,,46.6,,,,,,183,232,220,160,0.29,55,80,,,,,,,0.0005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
304H,,90,,99,520,,,,,,,,,,,,,0.04,18,66.08,2,8,,0.04,0.75,0.03,205,,,,,,,,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
304L,8,82,15,925,564,,58,193,,,1.008,,0.5,,1400,1400,1450,0.03,18,64.9,2,8,,0.045,1,0.03,210,,,14,,,,,,,158,159,,,,,,,,,,,,216,870,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
304LN,7.9,,,18,570,270,40,200,,0.0001,,16,0.5,,,,,0.02,18.4,71.94,,9.5,0.14,,,,,,,15,,,,,,,,,,0.299,,77,62,,,,,,,180,,,205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
305,8,45,,21.5,585,,50,193,,0.0001,1.008,17.3,0.5,16.3,1400,1400,1455,0.12,18,67,2,12,,0.045,1,0.03,260,,,,,,,,,80,97,82,,,,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
308,8,80,,980,585,,50,,135,,,17.3,0.5,15.2,1400,1400,1455,0.08,20,66,2,11,,0.045,1,0.03,240,,,,,,,,,139,155,153,,,,,,,0.0001,195,,,,135,925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
309,8,85,,1095,620,,45,200,120,0.0001,1.008,14.9,0.5,,1400,1400,1455,0.2,23,60,2,14,,0.045,1,0.03,310,,,15.6,,,,,,147,,169,,0.3,,77,,,,,,,,,980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
309S,8,85,,1095,620,,45,200,120,0.0001,,14.9,0.5,,1400,1400,1455,0.08,23,59,2,14,,0.045,1,0.03,310,,,15.6,,,,,,147,164,169,,0.3,,77,,,,,,,,,980,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310,8,85,,1150,620,,45,,120,0.0001,1.008,15.8,0.5,,1400,1400,1455,0.25,24,48.18,2,19,,0.045,1.5,0.03,310,,,14.2,,,,,,,,,,,,,,,,200,,,,,1035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310S,8,,,,,,,200,,,,,0.5,,1400,1400,1455,0.08,24,54,2,19,,0.045,1.5,0.03,,,,14.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311,7.8,,,786,,,,210,,0,,,0.46,,,,,0.25,0.3,97.23,1,,,0.035,0.15,0.035,,,,40,,0.04,,,,,,,,0.3,,80,,,,,,,0.001,,,,,,12,382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
312,7.86,90,,,759,,50,,,,,,,,,,,0.03,22,57,5,12,0.3,0.02,0.5,0.015,379,,75,,,,,2.3,0.2,,,,,,,,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
314,7.8,85,,20.9,689,,40,200,,0.0001,1.02,15.1,0.5,17.5,,,,0.25,23,46.68,2,19,,0.045,1.5,0.03,345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
316,8,79,,925,580,,50,,129,0.0001,1.008,16,0.5,,1370,1370,1400,0.08,16,61.8,2,10,,0.045,1,0.03,290,,,16.3,,,,2,,,,,,,,,,,,193,,,,105,870,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
316H,,,,,,,,,,,,,,,,,,0.04,16,62,2,11,,0.04,0.75,0.03,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
316L,8,79,,925,560,,50,,,0.0001,1.008,,0.5,,1375,1375,1400,0.03,16,61.9,2,10,,0.045,1,0.03,290,,,14,,,,2,,,,,,,,,,,,193,,,,103,870,,,,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
316LN,8,,,,,,,,,,,,,,,,,0.03,16,61.7,2,10,0.1,0.045,1,0.03,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
316N,7.92,85,,925,620,,48,,80,0.0001,1.008,16,0.5,,1370,1370,1400,0.08,16,61.69,2,10,0.1,0.045,1,0.03,330,,,16.1,,,,2,,,,,,,,,,,,196,,,,,870,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
316Ti,8,,,19,560,220,40,200,,0.0001,,16.5,0.5,,,,,0.05,17,71.25,,11,,,,,,,,15,,,,2.1,,,,,,0.299,,77,100,,,,,,,125,,,250,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
317,8,85,,925,620,,45,195,,0.0001,1.02,16,0.502,,1370,1370,1400,0.08,18,57.85,2,11,,0.045,1,0.03,275,,,16.3,,,,3,,,,,,,,,,,,,,,,,870,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
317L,8,85,,925,595,,55,200,,0.0001,,14.4,0.486,,1375,1375,1400,0.03,18,57.9,2,11,,0.045,1,0.03,260,,,16.3,,,,3,,,,,,,,,,,,,,,,,870,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
317LMN,8,,,17.5,640,270,50,200,,0.0001,,16,0.5,,,,,0.02,17.8,65.24,,12.7,0.14,,,,,,,14,,,,4.1,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320,7.83,,45,,1724,,8,,,,,,,,,,,0.41,0.8,96,0.7,1.9,,0.018,0.23,0.02,1517,,18,,,,,0.25,,422,463,442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321,8,80,,925,620,,45,193,135,0.0001,1.008,16.7,0.5,,1400,1400,1425,0.08,17,65.45,2,9,,0.045,1,0.03,240,,,16.1,,,,,,,,,,,,,,,,,,,,165,870,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321H,8,95,,,515,,30,,,,,,,,,,,0.07,18,68.08,2,10.5,,,1,,205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
322,7.85,93,14,,,,,205,,0,,,0.475,,,,,0.4,,97.93,0.7,,,0.035,0.15,0.04,,,,44.5,,,,0.2,,179,226,214,160,0.29,65,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
329,7.8,96,20,,725,,25,,,0.0001,,,0.46,,1450,1450,1510,0.1,28,63,2,4.5,,0.04,1,0.03,550,,,,,,,1.5,,230,253,242,,,,,,,,,,,,54,,,,,14.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
330,8,,,1150,550,,40,197,,,1.02,14.4,0.46,12.5,1400,1400,1425,0.08,19,42,2,36,,0.04,1.13,0.03,260,,,,,,,,,,,,,,,,124,,0.0001,,,,,,1035,37.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
