Grade,Treatment,Austenitizing temperature (°C),Austenitizing temperature (°F),Tensile strength (MPa),Tensile strength (ksi),Yield strength (MPa),Yield strength (ksi),Elongation (%),Reduction in area (%),Hardness (HB),HV (GPa)
4140,Normalized,870,1600,1020.4,148,655,95,17.7,46.8,302,29.2336
4140,Annealed,815,1500,655,95,417.1,60.5,25.7,56.9,197,19.0696
4150,Normalized,870,1600,1154.9,167.5,734.3,106.5,11.7,30.8,321,31.0728
4150,Annealed,815,1500,729.5,105.8,379.2,55,20.2,40.2,197,19.0696
4320,Normalized,895,1640,792.9,115,464,67.3,20.8,50.7,235,22.748
4320,Annealed,850,1560,579.2,84,609.5,61.6,29,58.4,163,15.7784
4340,Normalized,870,1600,1279,185.5,861.8,125,12.2,36.3,363,35.1384
4340,Annealed,810,1490,744.6,108,472.3,68.5,22,49.9,217,21.0056
4620,Normalized,900,1650,574.3,83.3,366.1,53.1,29,66.7,174,16.8432
4620,Annealed,855,1575,512.3,74.3,372.3,54,31.3,60.3,149,14.4232
4820,Normalized,860,1580,75,109.5,484.7,70.3,24,59.2,229,22.1672
4820,Annealed,815,1500,681.2,98.8,464,67.3,22.3,58.8,197,19.0696
5140,Normalized,870,1600,792.9,115,472.3,68.5,22.7,59.2,229,22.1672
5140,Annealed,830,1525,572.3,83,293,42.5,28.6,57.3,167,16.1656
5150,Normalized,870,1600,870.8,126.3,529.5,76.8,20.7,58.7,255,24.684
5150,Annealed,825,1520,675.7,98,357.1,51.8,22,43.7,197,19.0696
5160,Normalized,855,1575,957,138.8,530.9,77,17.5,44.8,269,26.0392
5160,Annealed,815,1495,722.6,104.8,275.8,40,17.2,30.6,197,19.0696
6150,Normalized,870,1600,939.8,136.3,615.7,89.3,21.8,61,269,26.0392
6150,Annealed,815,1500,667.4,96.8,412.3,59.8,23,48.4,197,19.0696
8620,Normalized,915,1675,632.9,91.8,357.1,51.8,26.3,59.7,183,17.7144
1137,As-rolled,,,627.4,91,379.2,55,28,61,192,18.5856
1137,Normalized,900,1650,668.8,97,396.4,57.5,22.5,48.5,197,19.0696
1137,Annealed,790,1450,584.7,84.8,344.7,50,26.8,53.9,174,16.8432
1141,As-rolled,,,675.7,98,358.5,52,22,38,192,18.5856
1141,Normalized,900,1650,706.7,102.5,405.4,58.8,22.7,55.5,201,19.4568
1141,Annealed,815,1500,598.5,86.8,353,51.2,25.5,49.3,163,15.7784
1144,As-rolled,,,703.3,102,420.6,61,21,41,212,20.5216
1144,Normalized,900,1650,667.4,96.8,399.9,58,21,40.4,197,19.0696
1144,Annealed,790,1450,584.7,84.8,346.8,50.3,24.8,41.3,167,16.1656
1340,Normalized,870,1600,836.3,121.3,558.5,81,22,62.9,248,24.0064
1340,Annealed,800,1475,703.3,102,436.4,63.3,25.5,57.3,207,20.0376
3140,Normalized,870,1600,891.5,129.3,599.8,87,19.7,57.3,262,25.3616
3140,Annealed,815,1500,689.5,100,422.6,61.3,24.5,50.8,197,19.0696
4130,Normalized,870,1600,668.8,97,436.4,63.3,25.5,59.5,197,19.0696
4130,Annealed,865,1585,560.5,81.3,360.6,52.3,28.2,55.6,156,15.1008
1050,As-rolled,,,723.9,105,413.7,60,20,40,229,22.1672
1050,Normalized,900,1650,748.1,108.5,427.5,62,20,39.4,217,21.0056
