Tensile Strength (MPa),Yield Strength (MPa),HV (GPa)
795,620,22.75739042
895,795,26.14678899
655,345,18.88379205
760,690,22.0795107
860,655,25.1783894
895,760,26.14678899
860,690,25.1783894
1970,1900,56.16717635
635,360,17.72171254
540,385,14.42915392
650,425,18.10907238
565,370,15.10703364
931,850,26.04994903
1025,690,29.24566769
715,385,20.53007136
1185,1105,34.08766565
931,605,26.04994903
696,415,19.4648318
1225,1130,34.08766565
931,580,26.04994903
779,485,22.17635066
1130,924,31.08562691
910,570,26.59100917
820,450,23.94513761
1207,1145,34.08766565
515,350,13.84811417
450,330,11.71763507
570,365,16.85015291
510,370,14.42915392
758,485,22.17635066
685,460,19.07747197
793,470,22.17635066
570,290,16.17227319
972,841,28.37410805
869,530,24.6941896
675,360,19.07747197
1055,1000,30.11722732
1025,650,27.59938838
724,275,19.07747197
1145,1005,33.0224261
938,615,26.04994903
670,415,19.07747197
1200,1160,34.08766565
834,558,24.01630989
703,434,20.04587156
889,600,25.37206932
690,420,19.07747197
670,435,19.07747197
560,460,21.01427115
1040,979,29.24566769
1020,655,29.24566769
655,915,19.07747197
1075,986,30.11722732
1160,731,31.08562691
731,380,19.07747197
1310,1215,36.31498471
793,460,22.75739042
580,425,15.78491335
1282,862,35.1529052
745,470,21.01427115
295,165,8.328236493
330,285,9.199796126
305,170,8.328236493
340,285,9.199796126
325,180,9.199796126
365,305,10.16819572
330,185,9.199796126
370,310,10.16819572
345,190,9.780835882
385,325,10.74923547
380,205,10.65239551
420,350,11.71763507
365,200,10.16819572
405,340,11.23343527
400,220,11.23343527
440,370,12.20183486
405,225,11.23343527
455,380,12.68603466
380,205,10.74923547
420,350,11.71763507
420,230,11.23343527
470,395,12.68603466
425,235,11.71763507
475,400,13.26707441
385,215,10.74923547
425,360,11.71763507
510,285,14.42915392
565,475,15.78491335
400,220,11.23343527
440,370,12.20183486
440,240,12.20183486
490,415,13.84811417
515,285,14.42915392
570,485,15.78491335
470,260,13.26707441
525,440,14.42915392
495,270,13.84811417
550,460,15.78491335
570,315,15.78491335
635,535,18.10907238
510,280,13.84811417
565,475,16.17227319
515,285,14.42915392
570,485,15.78491335
545,300,15.10703364
605,510,17.3343527
525,290,14.42915392
585,490,16.46279307
635,350,18.10907238
705,600,20.04587156
650,550,17.8185525
550,305,15.78491335
565,310,15.78491335
625,530,17.3343527
600,515,17.3343527
550,305,15.78491335
565,310,15.78491335
625,530,17.3343527
585,505,16.46279307
585,325,16.46279307
650,545,18.10907238
620,515,17.3343527
650,360,18.59327217
710,605,20.04587156
655,585,18.10907238
660,365,19.07747197
735,615,21.01427115
645,540,18.59327217
600,330,17.3343527
670,560,19.07747197
635,530,18.10907238
620,340,17.3343527
690,580,19.07747197
655,550,18.30275229
745,410,21.01427115
675,570,18.69011213
650,355,18.59327217
660,560,19.07747197
675,370,19.4648318
620,485,17.72171254
670,370,19.4648318
615,475,17.72171254
690,380,20.04587156
635,490,18.10907238
705,385,20.53007136
640,495,18.59327217
725,400,21.01427115
650,505,18.59327217
690,380,20.04587156
650,500,18.59327217
770,425,22.17635066
675,515,18.59327217
820,450,23.33843017
690,530,18.59327217
835,460,24.01630989
695,540,18.59327217
770,425,22.17635066
670,510,18.59327217
840,460,24.01630989
695,540,19.07747197
825,455,24.01630989
680,525,19.07747197
380,230,11.71763507
515,400,15.78491335
385,230,11.71763507
540,415,16.17227319
385,230,11.71763507
540,415,16.17227319
395,235,11.71763507
540,415,15.78491335
345,190,9.780835882
385,325,11.71763507
345,190,9.780835882
425,235,11.71763507
475,400,13.26707441
450,250,12.68603466
495,420,13.84811417
425,235,11.71763507
475,400,13.26707441
570,315,16.17227319
635,530,17.72171254
605,330,17.3343527
675,565,19.07747197
545,300,15.10703364
605,510,16.46279307
650,355,18.10907238
725,605,20.53007136
670,365,19.07747197
745,620,21.01427115
585,325,16.46279307
650,550,18.10907238
585,325,16.46279307
650,550,18.10907238
635,350,18.10907238
705,595,20.04587156
655,275,9.203853211
620,240,15.49439348
690,450,20.53007136
515,240,7.786422018
585,235,14.42915392
690,415,20.53007136
860,655,26.63098879
585,260,8.731376147
585,205,14.52599388
655,275,9.014862385
620,310,9.203853211
655,275,15.49439348
689,345,17.43119266
580,290,8.636880734
550,240,14.42915392
620,415,18.39959225
620,275,9.203853211
585,275,15.49439348
620,240,8.731376147
585,240,14.52599388
655,415,17.91539246
585,290,8.731376147
655,275,9.203853211
620,240,15.49439348
760,380,9.392844037
1035,760,11.09072375
1275,965,14.20998981
1550,1480,14.90316004
620,275,8.731376147
860,515,8.664627931
585,240,8.731376147
620,240,15.49439348
690,415,22.0795107
