Grade,Tensile Strength (MPa),Yield Strength (MPa),Elongation in 50 mm (%),Reduction in Area (%),HV (GPa)
347,655,275,45,45.8,9.203853211
347,620,240,50,65,15.49439348
384,690,450,40,60,20.53007136
384,515,240,55,72,7.786422018
304,585,235,60,70,14.42915392
304,690,415,45,45.8,20.53007136
304,860,655,25,45.8,26.63098879
305,585,260,50,45.8,8.731376147
308,585,205,55,65,14.52599388
309,655,275,45,65,9.014862385
310,620,310,45,45.8,9.203853211
310,655,275,45,65,15.49439348
314,689,345,45,60,17.43119266
316,580,290,50,45.8,8.636880734
316,550,240,60,70,14.42915392
316,620,415,45,65,18.39959225
317,620,275,45,45.8,9.203853211
317,585,275,50,45.8,15.49439348
321,620,240,45,45.8,8.731376147
321,585,240,55,65,14.52599388
321,655,415,40,60,17.91539246
330,585,290,45,45.8,8.731376147
347,655,275,45,45.8,9.203853211
347,620,240,50,65,15.49439348
201,1035,760,12,45.8,11.09072375
201,1275,965,8,45.8,14.20998981
201,1550,1480,1,45.8,14.90316004
302,620,275,55,45.8,8.731376147
302,860,515,12,45.8,8.664627931
302,585,240,60,70,8.731376147
303,620,240,50,55,15.49439348
303,690,415,40,53,22.0795107
1006,295,165,30,55,8.328236493
1006,330,285,20,45,9.199796126
1008,305,170,30,55,8.328236493
1008,340,285,20,45,9.199796126
1010,325,180,28,50,9.199796126
1010,365,305,20,40,10.16819572
1012,330,185,28,50,9.199796126
1012,370,310,19,40,10.16819572
1015,345,190,28,50,9.780835882
1015,385,325,18,40,10.74923547
1016,380,205,25,50,10.65239551
1016,420,350,18,40,11.71763507
1017,365,200,26,50,10.16819572
1017,405,340,18,40,11.23343527
1018,400,220,25,50,11.23343527
1018,440,370,15,40,12.20183486
1019,405,225,25,50,11.23343527
1019,455,380,15,40,12.68603466
1020,380,205,25,50,10.74923547
1020,420,350,15,40,11.71763507
1021,420,230,24,48,11.23343527
1021,470,395,15,40,12.68603466
1022,425,235,23,47,11.71763507
1022,475,400,15,40,13.26707441
1023,385,215,25,50,10.74923547
1023,425,360,15,40,11.71763507
1524,510,285,20,42,14.42915392
1524,565,475,12,35,15.78491335
1025,400,220,25,50,11.23343527
1025,440,370,15,40,12.20183486
1026,440,240,24,49,12.20183486
1527,490,415,15,40,13.84811417
1527,515,285,18,40,14.42915392
1527,570,485,12,35,15.78491335
1030,470,260,20,42,13.26707441
1030,525,440,12,35,14.42915392
1035,495,270,18,40,13.84811417
1035,550,460,12,35,15.78491335
1536,570,315,16,40,15.78491335
1536,635,535,12,35,18.10907238
1037,510,280,18,40,13.84811417
1037,565,475,12,35,16.17227319
1038,515,285,18,40,14.42915392
1038,570,485,12,35,15.78491335
1039,545,300,16,40,15.10703364
1039,605,510,12,35,17.3343527
1040,525,290,18,40,14.42915392
1040,585,490,12,35,16.46279307
1541,635,350,15,40,18.10907238
1541,705,600,10,30,20.04587156
1541,650,550,10,45,17.8185525
1042,550,305,16,40,15.78491335
1043,565,310,16,40,15.78491335
1043,625,530,12,35,17.3343527
1043,600,515,12,45,17.3343527
1044,550,305,16,40,15.78491335
1045,565,310,16,40,15.78491335
1045,625,530,12,35,17.3343527
1045,585,505,12,45,16.46279307
1046,585,325,15,40,16.46279307
1046,650,545,12,35,18.10907238
1046,620,515,12,45,17.3343527
1547,650,360,15,30,18.59327217
1547,710,605,10,28,20.04587156
1547,655,585,10,35,18.10907238
1548,660,365,14,33,19.07747197
1548,735,615,10,28,21.01427115
1548,645,540,10,35,18.59327217
1049,600,330,15,35,17.3343527
1049,670,560,10,30,19.07747197
1049,635,530,10,40,18.10907238
1050,620,340,15,35,17.3343527
1050,690,580,10,30,19.07747197
1050,655,550,10,40,18.30275229
1552,745,410,12,30,21.01427115
1552,675,570,10,40,18.69011213
1055,650,355,12,30,18.59327217
1055,660,560,10,40,19.07747197
1060,675,370,12,30,19.4648318
1060,620,485,10,45,17.72171254
1064,670,370,12,30,19.4648318
1064,615,475,10,45,17.72171254
1065,690,380,12,30,20.04587156
1065,635,490,10,45,18.10907238
1070,705,385,12,30,20.53007136
1070,640,495,10,45,18.59327217
1074,725,400,12,30,21.01427115
1074,650,505,10,40,18.59327217
1078,690,380,12,30,20.04587156
1078,650,500,10,40,18.59327217
1080,770,425,10,25,22.17635066
1080,675,515,10,40,18.59327217
1084,820,450,10,25,23.33843017
1084,690,530,10,40,18.59327217
1085,835,460,10,25,24.01630989
1085,695,540,10,40,18.59327217
1086,770,425,10,25,22.17635066
1086,670,510,10,40,18.59327217
1090,840,460,10,25,24.01630989
1090,695,540,10,40,19.07747197
1095,825,455,10,25,24.01630989
1095,680,525,10,40,19.07747197
1211,380,230,25,45,11.71763507
1211,515,400,10,35,15.78491335
1212,385,230,25,45,11.71763507
1212,540,415,10,35,16.17227319
1213,385,230,25,45,11.71763507
1213,540,415,10,35,16.17227319
12L14,395,235,22,45,11.71763507
12L14,540,415,10,35,15.78491335
1108,345,190,30,50,9.780835882
1108,385,325,20,40,11.71763507
1109,345,190,30,50,9.780835882
1117,425,235,23,47,11.71763507
1117,475,400,15,40,13.26707441
1118,450,250,23,47,12.68603466
1118,495,420,15,40,13.84811417
1119,425,235,23,47,11.71763507
1119,475,400,15,40,13.26707441
1132,570,315,16,40,16.17227319
1132,635,530,12,35,17.72171254
1137,605,330,15,35,17.3343527
1137,675,565,10,30,19.07747197
1140,545,300,16,40,15.10703364
1140,605,510,12,35,16.46279307
1141,650,355,15,35,18.10907238
1141,725,605,10,30,20.53007136
1144,670,365,15,35,19.07747197
1144,745,620,10,30,21.01427115
1145,585,325,15,40,16.46279307
1145,650,550,12,35,18.10907238
1146,585,325,15,40,16.46279307
1146,650,550,12,35,18.10907238
1151,635,350,15,35,18.10907238
1151,705,595,10,30,20.04587156
8620,635,360,26.3,59.7,17.72171254
8620,540,385,31.3,62.1,14.42915392
8630,650,425,23.5,53.5,18.10907238
8630,565,370,29,58.9,15.10703364
8630,931,850,18.7,59.6,26.04994903
8650,1025,690,14,45,29.24566769
8650,715,385,22.5,46,20.53007136
8650,1185,1105,14.5,49.1,34.08766565
8740,931,605,16,47.9,26.04994903
8740,696,415,22.2,46.4,19.4648318
8740,1225,1130,16,53,34.08766565
9255,931,580,19.7,43.4,26.04994903
9255,779,485,21.7,41.1,22.17635066
9255,1130,924,16.7,38.3,31.08562691
9310,910,570,18.8,58.1,26.59100917
9310,820,450,17.3,42.1,23.94513761
9310,1207,1145,14.2,45.9,34.08766565
4419,515,350,32.5,69.4,13.84811417
4419,450,330,31.2,62.8,11.71763507
4620,570,365,29,66.7,16.85015291
4620,510,370,31.3,60.3,14.42915392
4820,758,485,24,59.2,22.17635066
4820,685,460,22.3,58.8,19.07747197
5140,793,470,22.7,59.2,22.17635066
5140,570,290,28.6,57.3,16.17227319
5140,972,841,18.5,58.9,28.37410805
5150,869,530,20.7,58.7,24.6941896
5150,675,360,22,43.7,19.07747197
5150,1055,1000,16.4,52.9,30.11722732
5160,1025,650,18.2,50.7,27.59938838
5160,724,275,17.2,30.6,19.07747197
5160,1145,1005,14.5,45.7,33.0224261
6150,938,615,21.8,61,26.04994903
6150,670,415,23,48.4,19.07747197
6150,1200,1160,14.5,48.2,34.08766565
1340,834,558,22,63,24.01630989
1340,703,434,25.5,57,20.04587156
3140,889,600,19.7,57,25.37206932
3140,690,420,24.5,51,19.07747197
4130,670,435,25.5,59.5,19.07747197
4130,560,460,21.5,59.6,21.01427115
4130,1040,979,18.1,63.9,29.24566769
4140,1020,655,17.7,46.8,29.24566769
4140,655,915,25.7,56.9,19.07747197
4140,1075,986,15.5,56.9,30.11722732
4150,1160,731,11.7,30.8,31.08562691
4150,731,380,20.2,40.2,19.07747197
4150,1310,1215,13.5,47.2,36.31498471
4320,793,460,20.8,51,22.75739042
4320,580,425,29,58,15.78491335
4340,1282,862,12.2,36.3,35.1529052
4340,745,470,22,50,21.01427115
414,795,620,20,60,22.75739042
414,895,795,15,58,26.14678899
420,655,345,25,55,18.88379205
420,760,690,14,40,22.0795107
431,860,655,20,55,25.1783894
431,895,760,15,35,26.14678899
