YS(MPa),HV(GPa)
1118,2.2585521
973,2.3546607
952,2.3066064
1001,2.3066064
987,2.2825792500000004
1063,2.2825792500000004
1070,2.23452495
987,2.3546607
987,2.2825792500000004
987,2.2585521
1001,2.2104978
1437,3.2676924000000005
1486,3.2196381
1487,3.1235295
1529,3.1475566500000003
1454,3.14275122
1470,3.15236208
1215,2.61895935
1215,2.5468779000000006
1215,2.4747964500000004
1164,2.4988236
1164,2.4507693
1164,2.402715
1136,2.46518559
1136,2.4507693
1136,2.42674215
1380,3.33977385
1380,3.2676924000000005
1380,3.25808154
1324,3.2196381
1324,3.1715838
1324,3.1571675100000007
1334,3.1715838
1334,3.1475566500000003
1334,3.1235295
