Unnamed: 0,Material,Condition,Austenitizing Temperature (°C),YS(MPa),UTS(MPa),Hardness (Rc),HV,HV(GPa),YS/UTS
0,50B35-M (Longitudinal),Tempered at 470°C,870,1118,1180,33.0,230.3,2.2585521,0.9474576271186441
1,50B35-M (Longitudinal),Tempered at 470°C,1000,973,1076,35.0,240.1,2.3546607,0.904275092936803
2,50B35-M (Longitudinal),Tempered at 470°C,1090,952,1070,34.0,235.2,2.3066064,0.8897196261682243
3,50B35-M (Longitudinal),Tempered at 470°C,1200,1001,1118,34.0,235.2,2.3066064,0.8953488372093024
4,50B35-M (Longitudinal),Tempered at 470°C,1260,987,1139,33.5,232.75000000000003,2.2825792500000004,0.8665496049165935
5,50B35-M (Longitudinal),Tempered at 470°C,1315,1063,1118,33.5,232.75000000000003,2.2825792500000004,0.9508050089445438
6,50B35-M (Transverse),Tempered at 470°C,870,1070,1139,32.5,227.85,2.23452495,0.9394205443371378
7,50B35-M (Transverse),Tempered at 470°C,1000,987,1097,35.0,240.1,2.3546607,0.8997265268915223
8,50B35-M (Transverse),Tempered at 470°C,1200,987,1090,33.5,232.75000000000003,2.2825792500000004,0.9055045871559633
9,50B35-M (Transverse),Tempered at 470°C,1260,987,1097,33.0,230.3,2.2585521,0.8997265268915223
10,50B35-M (Transverse),Tempered at 470°C,1315,1001,1104,32.0,225.4,2.2104978,0.9067028985507246
11,50B35-M (Longitudinal),As-quenched,870,1437,2123,54.0,333.20000000000005,3.2676924000000005,0.67687235044748
12,50B35-M (Longitudinal),As-quenched,1000,1486,2094,53.0,328.3,3.2196381,0.7096466093600764
13,50B35-M (Longitudinal),As-quenched,1090,1487,2130,51.0,318.5,3.1235295,0.6981220657276995
14,50B35-M (Longitudinal),As-quenched,1200,1529,2124,51.5,320.95000000000005,3.1475566500000003,0.7198681732580038
15,50B35-M (Longitudinal),As-quenched,1260,1454,2110,51.4,320.46000000000004,3.14275122,0.6890995260663507
16,50B35-M (Longitudinal),As-quenched,1315,1470,2126,51.6,321.44,3.15236208,0.691439322671684
17,4340 (Longitudinal),Tempered at 470°C,870,1215,1327,40.5,267.05,2.61895935,0.9155990957045969
18,4340 (Longitudinal),Tempered at 470°C,870,1215,1327,39.0,259.70000000000005,2.5468779000000006,0.9155990957045969
19,4340 (Longitudinal),Tempered at 470°C,870,1215,1327,37.5,252.35,2.4747964500000004,0.9155990957045969
20,4340 (Longitudinal),Tempered at 470°C,1090,1164,1304,38.0,254.8,2.4988236,0.8926380368098159
21,4340 (Longitudinal),Tempered at 470°C,1090,1164,1304,37.0,249.9,2.4507693,0.8926380368098159
22,4340 (Longitudinal),Tempered at 470°C,1090,1164,1304,36.0,245.00000000000003,2.402715,0.8926380368098159
23,4340 (Longitudinal),Tempered at 470°C,1260,1136,1276,37.3,251.37,2.46518559,0.890282131661442
24,4340 (Longitudinal),Tempered at 470°C,1260,1136,1276,37.0,249.9,2.4507693,0.890282131661442
25,4340 (Longitudinal),Tempered at 470°C,1260,1136,1276,36.5,247.45,2.42674215,0.890282131661442
26,4340 (Longitudinal),As-quenched,870,1380,2358,55.5,340.55,3.33977385,0.5852417302798982
27,4340 (Longitudinal),As-quenched,870,1380,2358,54.0,333.20000000000005,3.2676924000000005,0.5852417302798982
28,4340 (Longitudinal),As-quenched,870,1380,2358,53.8,332.22,3.25808154,0.5852417302798982
29,4340 (Longitudinal),As-quenched,1090,1324,2311,53.0,328.3,3.2196381,0.572912159238425
30,4340 (Longitudinal),As-quenched,1090,1324,2311,52.0,323.40000000000003,3.1715838,0.572912159238425
31,4340 (Longitudinal),As-quenched,1090,1324,2311,51.7,321.93000000000006,3.1571675100000007,0.572912159238425
32,4340 (Longitudinal),As-quenched,1260,1334,2310,52.0,323.40000000000003,3.1715838,0.5774891774891775
33,4340 (Longitudinal),As-quenched,1260,1334,2310,51.5,320.95000000000005,3.1475566500000003,0.5774891774891775
34,4340 (Longitudinal),As-quenched,1260,1334,2310,51.0,318.5,3.1235295,0.5774891774891775
