Tempering Time(Hrs),Tempering Temp(C),Hardness(HV1),,,
8,172,538,,,
8,311,541,,,
8,451,462,,,
8,590,361,,,
8,730,282,,,
2,172,538,,,
2,311,533,,,
2,451,480,,,
2,590,403,,,
2,729,314,,,
2,172,578,,,
2,311,576,,,
2,451,575,,,
2,590,440,,,
2,730,354,,,
8,172,578,,,
8,311,617,,,
8,451,557,,,
8,590,419,,,
8,730,317,,,
0.693113139,500,524.3836,,,2495.2073
0.905582667,500,472.3288,,,3260.0976
1.191954611,500,442.7397,,,4291.0366
1.395186306,500,421.3699,,,5022.6707
1.59533875,500,403.2877,,,5743.2195
1.875552167,500,391.7808,,,6751.9878
2.088021667,500,381.3699,,,7516.878
2.297411917,500,368.2192,,,8270.6829
