YS(MPa),Dynamic Pyramid Hardness (GPa),HV(GPa)
329.897,128.752,1.262670864
355.67,141.23,1.38504261
314.433,144.485,1.416964395
494.845,156.42,1.53401094
360.825,161.844,1.587204108
567.01,164.014,1.608485298
365.979,168.354,1.651047678
381.443,174.864,1.714891248
381.443,181.374,1.778734818
438.144,185.714,1.821297198
402.062,187.884,1.842578388
597.938,190.054,1.863859578
324.742,195.479,1.917062553
525.773,197.649,1.938343743
417.526,203.074,1.991546718
458.763,205.244,2.012827908
386.598,207.414,2.034109098
515.464,209.584,2.055390288
572.165,213.924,2.097952668
412.371,215.009,2.108593263
355.67,218.264,2.140515048
427.835,223.689,2.193718023
479.381,225.859,2.214999213
551.546,228.029,2.236280403
618.557,232.369,2.278842783
443.299,234.539,2.300123973
561.856,236.709,2.321405163
525.773,242.134,2.374608138
572.165,247.559,2.427811113
505.155,249.729,2.449092303
783.505,254.069,2.491654683
577.32,256.239,2.512935873
659.794,258.409,2.534217063
572.165,263.834,2.587420038
706.186,264.919,2.598060633
556.701,271.429,2.661904203
835.052,272.514,2.672544798
592.784,279.024,2.736388368
804.124,281.193,2.757659751
726.804,284.448,2.789581536
649.485,286.618,2.810862726
814.433,290.958,2.853425106
752.577,295.298,2.895987486
731.959,301.808,2.959831056
871.134,303.978,2.981112246
876.289,310.488,3.044955816
773.196,316.998,3.108799386
1067.01,319.168,3.130080576
788.66,322.423,3.162002361
804.124,331.103,3.247127121
536.082,344.123,3.374814261
989.691,345.208,3.385454856
979.381,352.803,3.459939021
1072.165,359.313,3.523782591
876.289,362.568,3.555704376
1010.309,364.738,3.576985566
963.918,373.418,3.662110326
1128.866,382.098,3.747235086
958.763,389.693,3.821719251
1201.031,391.863,3.843000441
1051.546,403.797,3.960037179
1139.175,410.307,4.023880749
1154.639,425.497,4.172849079
1175.258,434.177,4.257973839
1262.887,461.302,4.523988714
1185.567,478.662,4.694238234
1443.299,484.087,4.747441209
1350.515,507.957,4.981534299
1288.66,512.297,5.024096679
1520.619,515.552,5.056018464
1458.763,527.486,5.173055202
1469.072,540.506,5.300742342
1319.588,544.846,5.343304722
1412.371,557.866,5.470991862
1742.268,560.036,5.492273052
1484.536,568.716,5.577397812
1371.134,573.056,5.619960192
1515.464,576.311,5.651881977
1448.454,586.076,5.747647332
1747.423,633.273,6.210508311
