Alloy Name,YS(MPa),HV(GPa)
Fe41Co7Cr15Mo14C15B6Y2,3500,13.45
Fe74Ni9Cr4Si3B10,2930,9.16
Fe66Ni7Zr6Cr8Si3B10,2000,8.31
Fe63Ni7Zr6Cr8W3Si3B10,2730,9.1
[(Fe0.9Co0.1)0.75B0.2Si0.05]96Nb4,3900,11.5
[(Fe0.8Co0.2)0.75B0.2Si0.05]96Nb4,4170,12.25
[(Fe0.7Co0.3)0.75B0.2Si0.05]96Nb4,4200,12.45
[(Fe0.6Co0.4)0.75B0.2Si0.05]96Nb4,4250,12.5
[(Fe0.5Co0.5)0.75B0.2Si0.05]96Nb4,4210,12.2
[(Fe0.8Co0.1Ni0.1)0.75B0.2Si0.05]96Nb4,4230,12.3
[(Fe0.6Co0.1Ni0.3)0.75B0.2Si0.05]96Nb4,4070,11.7
[(Fe0.6Co0.2Ni0.2)0.75B0.2Si0.05]96Nb4,4160,12.1
[(Fe0.6Co0.3Ni0.1)0.75B0.2Si0.05]96Nb4,4200,12.4
Co43.5Fe20Ta5.5B31.5,5190,14.55
(Co0.535Fe0.1Ta0.055B0.31)98Mo2,5550,16.93
[(Co0.535Fe0.1Ta0.055B0.31)98Mo0.02]99Si,4920,14.5
[(Co0.535Fe0.1Ta0.055B0.31)98Mo0.02]98Si2,4450,13.14
(Fe0.75B0.2Si0.05)96Nb4,3400,10.7
[(Fe0.9Co0.1)0.75B0.2Si0.05]96Nb4,3900,11.5
[(Fe0.8Co0.2)0.75B0.2Si0.05]96Nb4,4170,12.25
[(Fe0.7Co0.3)0.75B0.2Si0.05]96Nb4,4200,12.45
[(Fe0.6Co0.4)0.75B0.2Si0.05]96Nb4,4250,12.5
[(Fe0.5Co0.5)0.75B0.2Si0.05]96Nb4,4210,12.5
