YS(MPa),HV(GPa)
1118.0,2.2585521
973.0,2.3546607
952.0,2.3066064
1001.0,2.3066064
987.0,2.2825792500000004
1063.0,2.2825792500000004
1070.0,2.23452495
987.0,2.3546607
987.0,2.2825792500000004
987.0,2.2585521
1001.0,2.2104978
1437.0,3.2676924000000005
1486.0,3.2196381
1487.0,3.1235295
1529.0,3.1475566500000003
1454.0,3.14275122
1470.0,3.15236208
1215.0,2.61895935
1215.0,2.5468779000000006
1215.0,2.4747964500000004
1164.0,2.4988236
1164.0,2.4507693
1164.0,2.402715
1136.0,2.46518559
1136.0,2.4507693
1136.0,2.42674215
1380.0,3.33977385
1380.0,3.2676924000000005
1380.0,3.25808154
1324.0,3.2196381
1324.0,3.1715838
1324.0,3.1571675100000007
1334.0,3.1715838
1334.0,3.1475566500000003
1334.0,3.1235295
3500.0,13.45
2930.0,9.16
2000.0,8.31
2730.0,9.1
3900.0,11.5
4170.0,12.25
4200.0,12.45
4250.0,12.5
4210.0,12.2
4230.0,12.3
4070.0,11.7
4160.0,12.1
4200.0,12.4
5190.0,14.55
5550.0,16.93
4920.0,14.5
4450.0,13.14
3400.0,10.7
3900.0,11.5
4170.0,12.25
4200.0,12.45
4250.0,12.5
4210.0,12.5
329.897,1.262670864
355.67,1.38504261
314.433,1.416964395
494.845,1.53401094
360.825,1.587204108
567.01,1.608485298
365.979,1.651047678
381.443,1.714891248
381.443,1.778734818
438.144,1.821297198
402.062,1.842578388
597.938,1.863859578
324.742,1.917062553
525.773,1.938343743
417.526,1.991546718
458.763,2.012827908
386.598,2.034109098
515.464,2.055390288
572.165,2.097952668
412.371,2.108593263
355.67,2.140515048
427.835,2.193718023
479.381,2.214999213
551.546,2.236280403
618.557,2.278842783
443.299,2.300123973
561.856,2.321405163
525.773,2.374608138
572.165,2.427811113
505.155,2.449092303
783.505,2.491654683
577.32,2.512935873
659.794,2.534217063
572.165,2.587420038
706.186,2.598060633
556.701,2.661904203
835.052,2.672544798
592.784,2.736388368
804.124,2.757659751
726.804,2.789581536
649.485,2.810862726
814.433,2.853425106
752.577,2.895987486
731.959,2.959831056
871.134,2.981112246
876.289,3.044955816
773.196,3.108799386
1067.01,3.130080576
788.66,3.162002361
804.124,3.247127121
536.082,3.374814261
989.691,3.385454856
979.381,3.459939021
1072.165,3.523782591
876.289,3.555704376
1010.309,3.576985566
963.918,3.662110326
1128.866,3.747235086
958.763,3.821719251
1201.031,3.843000441
1051.546,3.960037179
1139.175,4.023880749
1154.639,4.172849079
1175.258,4.257973839
1262.887,4.523988714
1185.567,4.694238234
1443.299,4.747441209
1350.515,4.981534299
1288.66,5.024096679
1520.619,5.056018464
1458.763,5.173055202
1469.072,5.300742342
1319.588,5.343304722
1412.371,5.470991862
1742.268,5.492273052
1484.536,5.577397812
1371.134,5.619960192
1515.464,5.651881977
1448.454,5.747647332
1747.423,6.210508311
146.417,1.128069789
174.455,1.21283169
171.34,1.304125053
155.763,1.434538539
158.879,1.630148961
177.57,1.695355704
252.336,1.877932623
370.717,2.308293204
420.561,2.43870669
464.174,2.582163486
423.676,2.634326919
501.558,2.660413539
532.71,2.764740405
517.134,2.908197201
566.978,2.986437447
616.822,3.025567377
532.71,3.09077412
557.632,3.234221109
610.592,3.260307729
672.897,3.351591285
598.131,3.403754718
732.087,3.547211514
775.701,3.573298134
753.894,3.716745123
738.318,3.814560141
212.5,1.580309787
243.75,1.625824074
246.875,1.781912286
293.75,1.820924532
337.5,1.872950667
318.75,1.977012744
384.375,2.042042961
321.875,2.133091149
371.875,2.185117284
431.25,2.263151583
496.875,2.380217742
487.5,2.536296147
568.75,2.562304311
593.75,2.718382716
553.125,2.757404769
618.75,2.854954998
